job_title,company,location,salary_min,salary_max,salary_currency,match_score,matching_skills,posting_date,application_url
Lead Software Engineer Analytics - Python,J.P. Morgan,"Jersey City, Hudson County",119441.99,119441.99,USD,0.0,0,2026-07-06T11:32:37Z,https://www.adzuna.com/land/ad/5789983918?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=8D59C9729456DFC627808A0BA485FCF12A1F5CFC
Lead Software Engineer - Java & Python,J.P. Morgan,"Jersey City, Hudson County",118932.09,118932.09,USD,0.0,0,2026-07-13T16:20:28Z,https://www.adzuna.com/land/ad/5799039627?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=D1F46B3CACBFD88F7E1049743653BC37DAD6D114
Lead Software Engineer - Python/ Data,J.P. Morgan,"Jersey City, Hudson County",144035.53,144035.53,USD,0.0,0,2026-07-06T11:33:03Z,https://www.adzuna.com/land/ad/5789985280?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=60FACC4910BF1471F086E0829D45F5B2793B3150
Software Engineer III - Python Automation,J.P. Morgan,"Jersey City, Hudson County",118821.89,118821.89,USD,0.0,0,2026-07-06T11:33:09Z,https://www.adzuna.com/land/ad/5789985540?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=A7912B3D59760E16D9938A307711EA9B8D796F79
Python Developer,Insight Global,"Grand Central, Manhattan",147878.34,147878.34,USD,100.0,1,2026-07-11T22:42:21Z,https://www.adzuna.com/land/ad/5797554849?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=20BF3379B3DA2C7433B1136224379243EF5902D6
Python Developer,ManpowerGroup,"Tyler Park, Hudson County",215188.61,215188.61,USD,100.0,1,2026-05-06T22:56:01Z,https://www.adzuna.com/land/ad/5721148395?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=3EFBDAA7509EAC6AC2C679B6DED8C78FFF8368D2
Python Rapid Application Developer,"Brains Workgroup, Inc.","Grand Central, Manhattan",129420.31,129420.31,USD,100.0,1,2026-07-22T10:51:51Z,https://www.adzuna.com/land/ad/5810925402?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=F826DCFCBA7DB993FB90D8F92150E474D8FC8537
Python Developer (with Agentic AI),Xoriant Corporation,"Grand Central, Manhattan",168490.97,168490.97,USD,100.0,1,2026-07-13T19:31:46Z,https://www.adzuna.com/land/ad/5799241452?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=1D1BC7A42372943A37A74E062E03F61EA858FDDE
Sr Python Backend Developer,ACI Infotech,"Grand Central, Manhattan",146411.92,146411.92,USD,100.0,1,2026-06-25T16:21:01Z,https://www.adzuna.com/land/ad/5776610954?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=C9A009E8F25335885DB3EDA955888858DE14ABE6
Python Fullstack AI Engineer,SUNRAY INFORMATICS,"Five Corners, Hudson County",84228.02,84228.02,USD,100.0,1,2026-06-08T16:30:15Z,https://www.adzuna.com/land/ad/5756540975?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=7DAEB09F9C320DF68154E8D15A3D18A0A524CC88
Data Engineer (SQL & Python),"Innova Solutions, Inc","Five Corners, Hudson County",73103.3,73103.3,USD,100.0,1,2026-07-06T19:09:36Z,https://www.adzuna.com/land/ad/5790373731?se=sIEi9kqG8RGbGoMv58FbYQ&utm_medium=api&utm_source=aacca97d&v=5E6D09F13F809508FB4E587B4DF6CC652FCCD3C5
