resume_id,rank,INSTITUTION_score
22946204,1,1.0
15601399,2,1.0
71576860,3,1.0
24583187,4,1.0
38457612,5,1.0
14107571,6,1.0
24592627,7,1.0
91189201,8,1.0
16280971,9,1.0
18316239,10,1.0
13915715,11,1.0
27624540,12,1.0
45475027,13,1.0
25923361,14,1.0
17704246,15,1.0
84356308,16,1.0
71499299,17,1.0
21007083,18,1.0
27409087,19,1.0
11877150,20,1.0
18835363,21,1.0
15041689,22,0.9529349092648525
26942552,23,0.8859031001764266
11637468,24,0.8859031001764266
22861181,25,0.8859031001764266
54259150,26,0.8436868294433629
75744306,27,0.8436868294433629
25023614,28,0.8436868294433629
63670997,29,0.8436868294433629
22800977,30,0.8276338713463266
10985403,31,0.77838606896617
12923795,32,0.7368415978617028
37370455,33,0.7058278014136239
17915015,34,0.7058278014136239
79541391,35,0.7058278014136239
64755882,36,0.7058278014136239
17432318,37,0.7058278014136239
31042953,38,0.6672000974899931
28078163,39,0.6636983924813121
28762662,40,0.6636983924813121
64468610,41,0.6636983924813121
31677347,42,0.6636983924813121
11981094,43,0.6636983924813121
38989376,44,0.6628331014898218
90365216,45,0.6545742910864708
34141299,46,0.6545742910864708
16605352,47,0.6545742910864708
18297650,48,0.6438722957413456
28758002,49,0.6346279113548613
13014900,50,0.6178613629080669
