resume_id,rank,JOB_TITLE_score
27981289,1,1.0
98300955,2,1.0
26746496,3,1.0
23464505,4,1.0
12860543,5,1.0
12763627,6,1.0
86322251,7,1.0
35990852,8,1.0
17911230,9,1.0
14413257,10,1.0
16186411,11,1.0
26503829,12,1.0
36434348,13,1.0
33893326,14,1.0
41344156,15,1.0
14449423,16,1.0
27152464,17,1.0
28630325,18,1.0
33141415,19,1.0
25656981,20,1.0
33872500,21,1.0
23985183,22,1.0
12920612,23,0.8498023512683903
12338274,24,0.845022911598478
43378989,25,0.8277494901474309
22351830,26,0.8277494901474309
15746146,27,0.8277494901474309
13454871,28,0.8277494901474309
20674668,29,0.8277494901474309
71767359,30,0.8277494901474309
24679149,31,0.8059703459708326
47603843,32,0.7972694239084414
38087844,33,0.7972694239084414
19796840,34,0.7897542803315624
28790806,35,0.7897542803315624
20566550,36,0.7118102292317879
92246939,37,0.6962603239025358
28126340,38,0.6778258052298692
25718772,39,0.6763879917351102
89740812,40,0.6410849309793989
28897981,41,0.6275907539010238
62994611,42,0.6159374076252596
23085604,43,0.5988393005923087
37242217,44,0.5936026117122983
99124477,45,0.5936026117122983
51724595,46,0.5936026117122983
20748926,47,0.5454004868000125
22259768,48,0.5390637080106664
15281412,49,0.511242809126563
24643412,50,0.5101965339095815
