resume_id,rank,EXPERIENCE_DURATION_score
16852973,1,0.5
22323967,2,0.5
33176873,3,0.5
27018550,4,0.5
17812897,5,0.5
11592605,6,0.5
25824789,7,0.5
15375009,8,0.5
11847784,9,0.5
32896934,10,0.5
29149998,11,0.5
11480899,12,0.5
23155093,13,0.5
11763983,14,0.5
27490876,15,0.5
32977530,16,0.5
93002334,17,0.5
24184357,18,0.5
73077810,19,0.5
13879043,20,0.5
30163002,21,0.5
18827609,22,0.5
25676643,23,0.5
12786012,24,0.5
87968870,25,0.5
46258701,26,0.5
14225422,27,0.5
29297973,28,0.5
18334783,29,0.5
19717385,30,0.5
49937469,31,0.5
18316239,32,0.5
17855844,33,0.5
57667857,34,0.5
17422560,35,0.5
32947778,36,0.5
23914451,37,0.5
21265194,38,0.5
51769822,39,0.5
19616406,40,0.5
41523474,41,0.5
59962788,42,0.5
86184722,43,0.5
28419173,44,0.5
18155310,45,0.5
26780935,46,0.5
34554248,47,0.5
26202430,48,0.5
19867922,49,0.5
91930382,50,0.5
